Repo,RelativePath,LineNumber,ExampleLine
"AmpliPi","docs\imgs\app_demos\HOW_TO.md","7","* L1 - before click"
"AmpliPi","docs\imgs\app_demos\HOW_TO.md","8","* L2 - before click + touch"
"AmpliPi","docs\imgs\app_demos\HOW_TO.md","9","* L3 - before click copy"
"AmpliPi","docs\imgs\app_demos\HOW_TO.md","10","* L4 - after click"
"AmpliPi","docs\imgs\app_demos\HOW_TO.md","14","* L1 - before click"
"AmpliPi","docs\imgs\app_demos\HOW_TO.md","15","* L2 - before click + touch"
"AmpliPi","docs\imgs\app_demos\HOW_TO.md","16","* L3 - before click copy"
"AmpliPi","docs\imgs\app_demos\HOW_TO.md","17","* L4 - after click"
"AmpliPi","docs\imgs\app_demos\HOW_TO.md","18","* L5 - transparent"
"AmpliPi","docs\imgs\app_demos\HOW_TO.md","19","* L6 - transparent"
"AmpliPi","docs\imgs\app_demos\HOW_TO.md","20","* L7 - transparent"
"AmpliPi","docs\imgs\app_demos\HOW_TO.md","21","* L8 - transparent"
"AmpliPi","docs\amplipi_api.yaml","2724","summary: AmpliPi - dlna"
"AmpliPi","docs\amplipi_api.yaml","2727","summary: Matt and Kim Radio - pandora"
"AmpliPi","docs\amplipi_api.yaml","2730","summary: Groove Salad - internetradio"
"AmpliPi","docs\amplipi_api.yaml","2800","summary: AmpliPi - dlna"
"AmpliPi","docs\amplipi_api.yaml","2803","summary: Matt and Kim Radio - pandora"
"AmpliPi","docs\amplipi_api.yaml","2806","summary: Groove Salad - internetradio"
"AmpliPi","docs\amplipi_api.yaml","3019","summary: AmpliPi - dlna"
"AmpliPi","docs\amplipi_api.yaml","3022","summary: Matt and Kim Radio - pandora"
"AmpliPi","docs\amplipi_api.yaml","3025","summary: Groove Salad - internetradio"
"AmpliPi","docs\amplipi_api.yaml","3258","summary: AmpliPi - dlna"
"AmpliPi","docs\amplipi_api.yaml","3261","summary: Matt and Kim Radio - pandora"
"AmpliPi","docs\amplipi_api.yaml","3264","summary: Groove Salad - internetradio"
"AmpliPi","docs\amplipi_api.yaml","3494","summary: AmpliPi - dlna"
"AmpliPi","docs\amplipi_api.yaml","3497","summary: Matt and Kim Radio - pandora"
"AmpliPi","docs\amplipi_api.yaml","3500","summary: Groove Salad - internetradio"
"AmpliPi","docs\plexamp_setup.md","20","## Option 1 - Using the AmpliPi API"
"AmpliPi","docs\plexamp_setup.md","33","## Option 2 - Manual ID/Token creation"
"AmpliPi","docs\plexamp_setup.md","34","If you would like to do some development of your own, or want access to the token generation process for any other reason, this is the way to go. The steps below outline this process using a Linux terminal - check out our JavaScript if you'd like a web-based option!"
"AmpliPi","docs\plexamp_setup.md","66","This request returns a similar block of information to that received in Step 1, though ""authToken"" should no longer be null. This is your new Plexamp token! It should be a 20-character string. Copy this over to 'server.json' along with your clientIdentifier - you should now have a working Plexamp device!"
"AmpliPi","docs\plexamp_setup.md","79","## Option 3 - Getting a server.json file from an existing install"
"AmpliPi","docs\plexamp_setup.md","84","for windows - https://plexamp.plex.tv/plexamp.plex.tv/Plexamp%20Setup%201.1.0.exe"
"AmpliPi","docs\plexamp_setup.md","86","for MacOS - https://plexamp.plex.tv/plexamp.plex.tv/Plexamp-1.1.0.dmg"
"AmpliPi","docs\plexamp_setup.md","91","for windows - c:\Users\USER_\AppData\Local\Plexamp\server.json"
"AmpliPi","docs\preamp_dev.md","47","Debugging is available through the SWD debugger header on the Preamp board (J8). We typically connect a Nucleo-F030R8 development board to this port and use it as an ST-LINK/V2-1 debugger/programmer. Be sure to line up pin 1 from the debugger with pin 1 on the Preamp board debug port, noting that the cable is six pins wide, while the port on the Preamp board is five pins wide - the sixth pin is not needed. Some helpful links can be found below:"
"AmpliPi","docs\PRESETS.md","20","- GET presets - Get the list of available presets"
"AmpliPi","docs\PRESETS.md","21","- POST preset - Add a preset. Preset syntax is same as config file. To accomodate streams that can be connected to any available source, id-less sources are allowed. The rest of the configuration parts (zones, streams, groups) needs an associated id. Potential error state if all sources are in use (in use means that atleast one zone is unmuted and the source's input is not None). App should detect this condition and ask user which source to take over."
"AmpliPi","docs\PRESETS.md","24","## Webapp - Preset Page view"
"AmpliPi","docs\QUICK_START.md","63","1. Pick an audio input using the selector. The `Groove Salad - internetradio` stream comes preconfigured (needs an internet connection)."
"AmpliPi","fw\power_board_tester\CMakeLists.txt","37","# Pretend to be the latest Arduino IDE - Adafruit GFX requires this set"
"AmpliPi","fw\preamp_i2c_regs.md","434","So a value of 0x5A equates to a temperature of 0x5A/2 - 20 = 25 &deg;C"
"AmpliPi","web\static\js\libs\rapidoc\8.4.9\rapidoc-min.js.LICENSE.txt","50","* RapiDoc 8.4.9 - WebComponent to View OpenAPI docs"
"AmpliPi","web\templates\rest-api-doc.html","4","<title>AmpliPi - REST API</title>"
"AmpliPi","index.html","4","<title>AmpliPi - REST API</title>"
"AmpliPi","README.md","79","Not quite sure how to accomplish this? No problem - The AmpliPi controller hosts its API documentation as well. Using a web browser pointed at your local AmpliPi box, you can view the API documentation, as well as test sending and receiving API commands to and from the AmpliPi."
"Civium","acknowledgements\README_acknowledgements.md","3","Civium did not emerge from nothing. It is the product of countless minds - named and unnamed - whose alignment helped shape this evolving constitution."
"Civium","admin\deprecated\README_Civium_deprecated.md","3","The scattered people - the Broken - swam up to the shoreline with wounds beyond counting. They had been a people for eons. Just surviving had carried them far, but they were here mostly due to chance and wild fortune. Now they lay on their backs, prostrate, suffering the loss of homes and dreams that might have been, heart-wounds they could not name."
"Civium","admin\deprecated\README_Civium_deprecated.md","7","Some of the people began to arrange the broken fragments. Not because they knew they were plans or blueprints, but because they had not lost their curiosity. They assembled with reverence, as if brushing dust from sacred shards. Gradually, their ideas began to fit together - like the rallying cry of true seekers, undefeated."
"Civium","admin\deprecated\README_Civium_deprecated.md","11","The stones connected in patterns, forming a map - not of a place they had known, but of a coherence they had never imagined. It resonated like a memory of the future. It was contact with the architecture of Godstuff."
