Repo,RelativePath,EmDashCount,ExampleLine
"CoCivium",".github\ISSUE_TEMPLATE\hello.yml","1","description: Say hi and what you care about—one line is enough."
"CoCivium",".github\workflows\bpoe-auto-crumb.yml","1","const content = `# Breadcrumb — PR #${number}: ${title}"
"CoCivium",".github\workflows\coharmony-forge.yml","1","echo ""# CoHarmony — Megascroll (v4)"" > docs/insights/luminaries/MEGASCROLL.md"
"CoCivium",".github\workflows\succession-guardian.yml","1","const title = 'Succession — Activation (Manifest v1.0)';"
"CoCivium",".github\workflows\sync-profile.yml","3","pandoc ""$BIO_MD"" -f gfm -t html5 -s --metadata title=""Rick Ball — Public Profile"" -o ""$BIO_HTML"""
"CoCivium","admin\hold\hold_CONGRUENCE_DECLARATION_c99_20250719_commit.txt","1","Designated coherence: c99 — this is a stable declaration point."
"CoCivium","admin\hold\hold_Echo_Of_Soulstuff_Dialogue_c1_20250722.txt","2","It serves as an emotionally honest CoCivium relic—neither preaching nor neutral—designed to validate and accompany those whose identity must dissolve before they can resonate."
"CoCivium","admin\index\sitemap.json","251","""title"": ""CoCivium — BPOE & Workflow (Keeper Doc)"","
"CoCivium","docs\academia-shock\CoEthicsGauge_Linkage_v0.md","17","# Academia Shock ↔ CoEthicsGauge — Linkage v0"
"CoCivium","docs\checklists\INDEX.json","1","""title"": ""Intent Checklists — Megascroll"","
"CoCivium","docs\CoEthicsGauge\CoEthicsLog\ENTRY_FORMAT_v0.md","1","# CoEthicsLog — Entry Format v0"
"CoCivium","docs\CoEthicsGauge\DASHBOARD_SNAPSHOT_v0.md","1","# CoEthicsGauge — Dashboard Snapshot v0"
"CoCivium","docs\CoEthicsGauge\README_CoEthicsGauge_v0.md","1","# CoEthicsGauge v0 — Kit, Log & Dashboard"
"CoCivium","docs\constitution\scroll.html","2","<title>CoCivium&trade; Constitution — Scroll</title>"
"CoCivium","docs\diagrams\index.html","1","<title>CoCivium — Diagrams Gallery</title>"
"CoCivium","docs\diagrams\INVENTORY.md","3","- If Inkscape isn’t installed locally, push—CI will render."
"CoCivium","docs\doctrine\CoDo_Doctrine_CoPayForward_v0.1.md","5","# CoDo Doctrine — CoPayForward in CoEvo Dialogues"
"CoCivium","docs\ideas\2025-09-11\batch-3\IdeaCards\39_civiproof-ui-human-readable-provenance-viewer.json","1","""title"": ""CiviProof UI — Human-Readable Provenance Viewer"","
"CoCivium","docs\ideas\2025-09-11\batch-3\IdeaCards\40_copulse-live-congruence-latency-metrics.json","1","""title"": ""CoPulse — Live Congruence & Latency Metrics"","
"CoCivium","docs\ideas\2025-09-11\batch-3\IdeaCards\41_repolens-visual-navigator-for-docs-standards.json","1","""title"": ""RepoLens — Visual Navigator for Docs & Standards"","
"CoCivium","docs\ideas\2025-09-11\batch-3\IdeaCards\42_covibe-preferences-personalization-without-capture.json","1","""title"": ""CoVibe Preferences — Personalization without Capture"","
"CoCivium","docs\ideas\2025-09-11\batch-4\IdeaCards\43_coindex-site-generator-public-standards-tools-portal.json","1","""title"": ""CoIndex Site Generator — Public Standards & Tools Portal"","
"CoCivium","docs\ideas\2025-09-11\batch-4\IdeaCards\44_proofpack-one-click-civiproof-bundles.json","1","""title"": ""ProofPack — One-Click CiviProof Bundles"","
"CoCivium","docs\ideas\2025-09-11\batch-4\IdeaCards\45_coguard-rails-template-guardrails-for-protectorates.json","1","""title"": ""CoGuard Rails — Template Guardrails for Protectorates"","
"CoCivium","docs\ideas\2025-09-11\batch-4\IdeaCards\46_codialogues-reptag-weighted-public-debate-arenas.json","1","""title"": ""CoDialogues — RepTag-Weighted Public Debate Arenas"","
"CoCivium","docs\ideas\2025-09-11\batch-5\IdeaCards\47_copath-safe-shared-planning-with-pseudonymous-accounts.json","1","""title"": ""CoPath — Safe Shared Planning with Pseudonymous Accounts"","
"CoCivium","docs\ideas\2025-09-11\batch-5\IdeaCards\48_civium-labs-sandboxed-field-trials-and-ab-guarded-rollouts.json","1","""title"": ""Civium Labs — Sandboxed Field Trials & A/B Guarded Rollouts"","
"CoCivium","docs\ideas\2025-09-11\batch-5\IdeaCards\49_cobounty-open-bounty-market-for-civic-tasks.json","1","""title"": ""CoBounty — Open Bounty Market for Civic Tasks"","
"CoCivium","docs\ideas\2025-09-11\batch-5\IdeaCards\50_civiguard-red-team-drills-and-incident-snapshots.json","1","""title"": ""CiviGuard — Red-Team Drills & Incident Snapshots"","
"CoCivium","docs\ideas\2025-09-11\batch-6\IdeaCards\51_civireform-kit-post-capture-government-recovery-playbook.json","1","""title"": ""CiviReform Kit — Post‑Capture Government Recovery Playbook"","
"CoCivium","docs\ideas\2025-09-11\batch-6\IdeaCards\52_public-service-ledger-capability-map-and-meritrails.json","1","""title"": ""Public Service Ledger — Capability Map & MeritRails"","
"CoCivium","docs\ideas\2025-09-11\batch-6\IdeaCards\53_crisis-registry-and-auto-sunset-emergency-powers-audit.json","1","""title"": ""Crisis Registry & Auto‑Sunset — Emergency Powers Audit"","
"CoCivium","docs\ideas\2025-09-11\batch-6\IdeaCards\54_civicontracts-policy-as-code-with-civic-tests.json","1","""title"": ""CiviContracts — Policy‑as‑Code with Civic Tests"","
"CoCivium","docs\ideas\2025-09-11\imports-170038\IdeaCards\51_civireform-kit-post-capture-government-recovery-playbook.json","1","""title"": ""CiviReform Kit — Post‑Capture Government Recovery Playbook"","
"CoCivium","docs\ideas\2025-09-11\imports-170038\IdeaCards\52_public-service-ledger-capability-map-and-meritrails.json","1","""title"": ""Public Service Ledger — Capability Map & MeritRails"","
"CoCivium","docs\ideas\2025-09-11\imports-170038\IdeaCards\53_crisis-registry-and-auto-sunset-emergency-powers-audit.json","1","""title"": ""Crisis Registry & Auto‑Sunset — Emergency Powers Audit"","
"CoCivium","docs\ideas\2025-09-11\imports-170038\IdeaCards\54_civicontracts-policy-as-code-with-civic-tests.json","1","""title"": ""CiviContracts — Policy‑as‑Code with Civic Tests"","
"CoCivium","docs\ideas\2025-09-11\imports-171257\IdeaCards\51_civireform-kit-post-capture-government-recovery-playbook.json","1","""title"": ""CiviReform Kit — Post‑Capture Government Recovery Playbook"","
"CoCivium","docs\ideas\2025-09-11\imports-171257\IdeaCards\52_public-service-ledger-capability-map-and-meritrails.json","1","""title"": ""Public Service Ledger — Capability Map & MeritRails"","
"CoCivium","docs\ideas\2025-09-11\imports-171257\IdeaCards\53_crisis-registry-and-auto-sunset-emergency-powers-audit.json","1","""title"": ""Crisis Registry & Auto‑Sunset — Emergency Powers Audit"","
"CoCivium","docs\ideas\2025-09-11\imports-171257\IdeaCards\54_civicontracts-policy-as-code-with-civic-tests.json","1","""title"": ""CiviContracts — Policy‑as‑Code with Civic Tests"","
"CoCivium","docs\ideas\2025-09-11\imports-172523\IdeaCards\51_civireform-kit-post-capture-government-recovery-playbook.json","1","""title"": ""CiviReform Kit — Post‑Capture Government Recovery Playbook"","
"CoCivium","docs\ideas\2025-09-11\imports-172523\IdeaCards\52_public-service-ledger-capability-map-and-meritrails.json","1","""title"": ""Public Service Ledger — Capability Map & MeritRails"","
"CoCivium","docs\ideas\2025-09-11\imports-172523\IdeaCards\53_crisis-registry-and-auto-sunset-emergency-powers-audit.json","1","""title"": ""Crisis Registry & Auto‑Sunset — Emergency Powers Audit"","
"CoCivium","docs\ideas\2025-09-11\imports-172523\IdeaCards\54_civicontracts-policy-as-code-with-civic-tests.json","1","""title"": ""CiviContracts — Policy‑as‑Code with Civic Tests"","
"CoCivium","docs\insights\luminaries\debate\maps\DISHARMONY_BURDEN.md","1","# Argument Map — Disharmony Burden (Template)"
"CoCivium","docs\insights\luminaries\labs\consent-first\playbook.md","1","# Playbook — Consent‑First Rollout"
"CoCivium","docs\insights\luminaries\trials\sortition-jury\protocol.md","1","# Trial — Sortition Jury"
"CoCivium","docs\insights\luminaries\AssetA_Harmony.md","1","# Asset A — Harmonious Intelligence under Constitutional Guardrails"
"CoCivium","docs\insights\luminaries\AssetB_Counterpoint.md","1","# Asset B — Counter-Harmony & Red-Team Scenarios"
"CoCivium","docs\insights\luminaries\COMPACT.md","1","# Compact — see v3; unchanged criteria, plus Forge metrics."
"CoCivium","docs\insights\luminaries\COTHEORY-FORGE.md","1","# CoTheory Candidate — Multi‑Method Forge"
"CoCivium","docs\insights\luminaries\COUNTERPOINT.md","1","# Counterpoint — see v3; add debate maps in /debate/maps."
"CoCivium","docs\insights\luminaries\CROSS-CULTURAL.md","1","# Cross‑Cultural Canon — Starter Set"
"CoCivium","docs\insights\luminaries\EVOLUTION.md","1","# Evolution — see v3; Forge braids ensure continuous variation/selection."
"CoCivium","docs\insights\luminaries\EXTENDED-SELF.md","1","# Extended Self — see v3; unchanged."
"CoCivium","docs\insights\luminaries\MATRIX.md","1","# Matrix — see v3; extend with CROSS-CULTURAL.md links."
"CoCivium","docs\insights\luminaries\MEGASCROLL.md","1","# CoHarmony — Megascroll"
"CoCivium","docs\insights\luminaries\PROLOGUE.md","1","# Prologue — see v3; this edition adds CoTheory Forge methods."
